genus,species,MFG,genspp,source
Eaustrum,,8a-LargeCoCh,Eaustrum,Salmaso & Padisak 2007
Echinosphaerella,limnetica,9b-SmallChlor,Echinosphaerella limnetica,Algaebase
egyeb,Phytomonadina,3a-UnicPhyto,egyeb Phytomonadina,Salmaso & Padisak 2007
Elakatothrix,,11b-GelaChlor,Elakatothrix,Salmaso Geisha Powell Center Workshop
Elakatothrix,gelatinosa,11b-GelaChlor,Elakatothrix gelatinosa,Salmaso & Padisak 2007
Elakatothrix,genevensis,11b-GelaChlor,Elakatothrix genevensis,Tolotti et al. 2010
Ellerbeckia,arenaria,6a1-LColCent,Ellerbeckia arenaria,Western Diatoms of North America
Enallax,costatus,1a-LargeChry,Enallax costatus,Algaebase
Encyonema,minutum,6b1-LColPenn,Encyonema minutum,Western Diatoms of North America
Encyonema,prostratum,6b1-LColPenn,Encyonema prostratum,Western Diatoms of North America
Encyonema,reichardtii,6b1-LColPenn,Encyonema reichardtii,Western Diatoms of North America
Encyonema,silesiacum,6b1-LColPenn,Encyonema silesiacum,Western Diatoms of North America
Encyonema,triangulum,6b1-LColPenn,Encyonema triangulum,Western Diatoms of North America
Encyonema,,6b1-LColPenn,Encyonema,Western Diatoms of North America
Encyonema,caespitosum,6b1-LColPenn,Encyonema caespitosum,Western Diatoms of North America
Encyonema,leibleinii,6b1-LColPenn,Encyonema leibleinii,Western Diatoms of North America
Encyonopsis,microcephala,6b1-LColPenn,Encyonopsis microcephala,Western Diatoms of North America
Entzia,acuta,2b-SmallDino,Entzia acuta,Rimet et al. 2018
Eolimna,minima,7b-SmallPenn,Eolimna minima,Western Diatoms of North America
Epipyxis,,2a-SmallChry1,Epipyxis,Salmaso & Padisak 2007
Epithemia,,6b2-LUniPenn,Epithemia,Salmaso & Padisak 2007
Erkenia,,2a-SmallChry1,Erkenia,Freshwater Algae of North America
Euastropsis,richteri,8a-LargeCoCh,Euastropsis richteri,Algaebase
Euastrum,ansatum,9a-SmallConj,Euastrum ansatum,Salmaso Geisha Powell Center Workshop
Euastrum,,9a-SmallConj,Euastrum,Salmaso Geisha Powell Center Workshop
Eucapsis,,5c-OtherChroo,Eucapsis,Salmaso Geisha Powell Center Workshop
Eucocconeis,flexella,7b-SmallPenn,Eucocconeis flexella,Western Diatoms of North America
Eudorina,,3b-ColoPhyto,Eudorina,Salmaso Geisha Powell Center Workshop
Eudorina,unicocca,3b-ColoPhyto,Eudorina unicocca,Salmaso Geisha Powell Center Workshop
Eudorina,elegans,3b-ColoPhyto,Eudorina elegans,Li et al. 2018
Euglena,,1c-LargeEugl,Euglena,Salmaso Geisha Powell Center Workshop
Euglena,viridis,1c-LargeEugl,Euglena viridis,Salmaso Geisha Powell Center Workshop
Eunotia,,7b-SmallPenn,Eunotia,Salmaso Geisha Powell Center Workshop
Eutetramorus,fottii,11a-NakeChlor,Eutetramorus fottii,Salmaso Geisha Powell Center Workshop
Eutetramorus,globosus,11a-NakeChlor,Eutetramorus globosus,Salmaso Geisha Powell Center Workshop
Eutetramorus,nygaardii,11a-NakeChlor,Eutetramorus nygaardii,Salmaso Geisha Powell Center Workshop
Eutetramorus,,11b-GelaChlor,Eutetramorus,Salmaso Geisha Powell Center Workshop
Fistulifera,pelliculosa,6b2-LUniPenn,Fistulifera pelliculosa,Rimet et al. 2018
Fotterella,tetrachlorella,11b-GelaChlor,Fotterella tetrachlorella,Algaebase
Fragilaria,,6b1-LColPenn,Fragilaria,Salmaso Geisha Powell Center Workshop
Fragilaria,tenera,6b2-LUniPenn,Fragilaria tenera,Salmaso Geisha Powell Center Workshop
Fragilaria,ulna,6b2-LUniPenn,Fragilaria ulna,Salmaso Geisha Powell Center Workshop
Fragilaria,vaucheriae,7b-SmallPenn,Fragilaria vaucheriae,Salmaso Geisha Powell Center Workshop
Fragilaria,crotonensis,6b1-LColPenn,Fragilaria crotonensis,Salmaso & Padisak 2007
Fragilaria,ulna acus,6b1-LColPenn,Fragilaria ulna acus,Salmaso & Padisak 2007
Fragilaria,capucina,6b1-LColPenn,Fragilaria capucina,Salmaso & Padisak 2007
Fragilaria,construens,6b1-LColPenn,Fragilaria construens,Salmaso & Padisak 2007
Fragilaria,arcus,6b1-LColPenn,Fragilaria arcus,Tolotti et al. 2010
Fragilaria,ulna/capucina,6b1-LColPenn,Fragilaria ulna/capucina,Tolotti et al. 2010
Fragilaria,ulna angustissima/delic.ssima,6b1-LColPenn,Fragilaria ulna angustissima/delic.ssima,Tolotti et al. 2010
Fragilaria,vaucheriae- corta,7b-SmallPenn,Fragilaria vaucheriae- corta,Tolotti et al. 2010
Fragilaria,berolinensis =,6b1-LColPenn,Fragilaria berolinensis =,Salmaso Geisha Powell Center Workshop
Fragilariforma,virescens,6b1-LColPenn,Fragilariforma virescens,Western Diatoms of North America
Fragiliaria,acus,6b1-LColPenn,Fragiliaria acus,Rimet et al. 2018
Franceia,amphitricha,9b-SmallChlor,Franceia amphitricha,Salmaso Geisha Powell Center Workshop
Franceia,ovalis,9b-SmallChlor,Franceia ovalis,Salmaso Geisha Powell Center Workshop
Franceia,,11b-GelaChlor,Franceia,Salmaso Geisha Powell Center Workshop
free,Dinobryon,1a-LargeChry,free Dinobryon,Salmaso & Padisak 2007
Frustulia,rhomboides,6b1-LColPenn,Frustulia rhomboides,Western Diatoms of North America
Frustulia,,6b1-LColPenn,Frustulia,Western Diatoms of North America
Fusiperidinium,wisconsinense,1b-LargeDino,Fusiperidinium wisconsinense,Algaebase
Fusola,viridis,1b-LargeDino,Fusola viridis,Algaebase
Geissleria,acceptata,7b-SmallPenn,Geissleria acceptata,Western Diatoms of North America
Geissleria,decussis,7b-SmallPenn,Geissleria decussis,Western Diatoms of North America
Geitlerinema,acutissimum,5a-FilaCyano,Geitlerinema acutissimum,CyanoDB 2
Geitlerinema,amphibium,5a-FilaCyano,Geitlerinema amphibium,CyanoDB 2
Geminella,interrupta,10a-FilaChlorp,Geminella interrupta,Tsarenko 2011
Glenodinium,pulvisculum,1b-LargeDino,Glenodinium pulvisculum,Salmaso Geisha Powell Center Workshop
Glenodinium,,2b-SmallDino,Glenodinium,Salmaso Geisha Powell Center Workshop
Gloeobotrys,limneticus,1c-LargeEugl,Gloeobotrys limneticus,Algaebase
Gloeocapsa,,5c-OtherChroo,Gloeocapsa,Algaebase
Gloeocapsopsis,,5c-OtherChroo,Gloeocapsopsis,Komarek 1993
Gloeococcus,,3b-ColoPhyto,Gloeococcus,Algaebase
Gloeocystis,,11b-GelaChlor,Gloeocystis,Salmaso Geisha Powell Center Workshop
Gloeothece,,5d-SmallChroo,Gloeothece,Salmaso Geisha Powell Center Workshop
Gloeotila,spiralis,10a-FilaChlorp,Gloeotila spiralis,Tsarenko 2011
Gloeotrichia,,5e-Nostocales,Gloeotrichia,Algaebase
Gloeotrichia,echinulata,5e-Nostocales,Gloeotrichia echinulata,Algaebase
Golenkinia,,9b-SmallChlor,Golenkinia,Salmaso Geisha Powell Center Workshop
Golenkinia,radiata,9b-SmallChlor,Golenkinia radiata,Li et al. 2018
Golenkiniopsis,chlorelloides,9b-SmallChlor,Golenkiniopsis chlorelloides,Salmaso Geisha Powell Center Workshop
Golenkiniopsis,longispina,9b-SmallChlor,Golenkiniopsis longispina,Salmaso Geisha Powell Center Workshop
Golenkiniopsis,parvula,9b-SmallChlor,Golenkiniopsis parvula,Salmaso Geisha Powell Center Workshop
Golenkiniopsis,solitaria,9b-SmallChlor,Golenkiniopsis solitaria,Salmaso Geisha Powell Center Workshop
Golenkiniopsis,,9b-SmallChlor,Golenkiniopsis,Salmaso Geisha Powell Center Workshop
Gomphonema,parvulum,7b-SmallPenn,Gomphonema parvulum,Salmaso Geisha Powell Center Workshop
Gomphonema,,7b-SmallPenn,Gomphonema,Salmaso Geisha Powell Center Workshop
Gomphosphaeria,compacta,5c-OtherChroo,Gomphosphaeria compacta,CyanoDB 2
Gomphosphaeria,lacustris,5c-OtherChroo,Gomphosphaeria lacustris,CyanoDB 2
Gomphosphaeria,pusilla,5c-OtherChroo,Gomphosphaeria pusilla,CyanoDB 2
Gomphosphaeria,rosea,5c-OtherChroo,Gomphosphaeria rosea,CyanoDB 2
Gomphosphaeria,,5c-OtherChroo,Gomphosphaeria,CyanoDB 2
Gonatozygon,brebissonnii,8a-LargeCoCh,Gonatozygon brebissonnii,Algaebase
Gonatozygon,monotaenium,8a-LargeCoCh,Gonatozygon monotaenium,Algaebase
Goniochloris,,9d-SmallUnic,Goniochloris,Salmaso Geisha Powell Center Workshop
Gonium,sociale,3b-ColoPhyto,Gonium sociale,Salmaso Geisha Powell Center Workshop
Gonium,,3b-ColoPhyto,Gonium,Salmaso Geisha Powell Center Workshop
Gonium,pectorale,3b-ColoPhyto,Gonium pectorale,Salmaso & Padisak 2007
Gonyaulax,apiculata,2b-SmallDino,Gonyaulax apiculata,Algaebase
Gonyostomum,semen,3a-UnicPhyto,Gonyostomum semen,Algaebase
Granulocystis,helenae,11a-NakeChlor,Granulocystis helenae,Tsarenko 2011
Granulocystopsis,coronata,11a-NakeChlor,Granulocystopsis coronata,Algaebase
Granulocystopsis,pseudocoronata,11a-NakeChlor,Granulocystopsis pseudocoronata,Algaebase
Gregiochloris,lacustris,1a-LargeChry,Gregiochloris lacustris,Rimet et al. 2018
Groenbladia,neglecta,10b-FilaConj,Groenbladia neglecta,Algaebase
Groenbladia,undulata,10b-FilaConj,Groenbladia undulata,Algaebase
Gymnodinium,hantzschii,2b-SmallDino,Gymnodinium hantzschii,Salmaso Geisha Powell Center Workshop
Gymnodinium,,2b-SmallDino,Gymnodinium,Salmaso Geisha Powell Center Workshop
Gymnodinium,helveticum,1b-LargeDino,Gymnodinium helveticum,Salmaso & Padisak 2007
Gymnodinium,lacustre,2b-SmallDino,Gymnodinium lacustre,Salmaso & Padisak 2007
Gymnodinium,lantschii,2b-SmallDino,Gymnodinium lantschii,Tolotti et al. 2010
Gyromitus,cordiformis,3a-UnicPhyto,Gyromitus cordiformis,Howe et al. 2011
Gyrosigma,,6b2-LUniPenn,Gyrosigma,Li et al. 2018
Haematococcus,,3a-UnicPhyto,Haematococcus,Salmaso Geisha Powell Center Workshop
Halamphora,holsatica,6b2-LUniPenn,Halamphora holsatica,Rimet et al. 2018
Halamphora,veneta,6b2-LUniPenn,Halamphora veneta,Rimet et al. 2018
Handmannia,glabriuscula,7a-SmallCent,Handmannia glabriuscula,Rimet et al. 2018
Hannaea,arcus,6b2-LUniPenn,Hannaea arcus,Western Diatoms of North America
Hantzschia,amphioxys,6b1-LColPenn,Hantzschia amphioxys,Salmaso & Padisak 2007
Hapalosiphon,flexuosus,5e-Nostocales,Hapalosiphon flexuosus,Algaebase
Haplotaenium,minutum,10b-FilaConj,Haplotaenium minutum,Algaebase
Hariotina,reticulata,11a-NakeChlor,Hariotina reticulata,Li et al. 2018
Hegewaldia,parvula,9b-SmallChlor,Hegewaldia parvula,Algaebase
Heimansia,pusilla,9a-SmallConj,Heimansia pusilla,Algaebase
Heleochloris,pallida,11a-NakeChlor,Heleochloris pallida,Tsarenko 2011
Heterochromonas,,2a-SmallChry1,Heterochromonas,Matz & Jurgens 2005
Heteroleibleinia,,5a-FilaCyano,Heteroleibleinia,Algaebase
Heterothrix,,10c-FilaXant,Heterothrix,Algaebase
Heterothrix,tenuissima,10c-FilaXant,Heterothrix tenuissima,Algaebase
Hippodonta,,7b-SmallPenn,Hippodonta,Western Diatoms of North America
Hippodonta,capitata,7b-SmallPenn,Hippodonta capitata,Western Diatoms of North America
Humidophila,perpusilla,7b-SmallPenn,Humidophila perpusilla,Western Diatoms of North America
Hyalotheca,dissiliens,10b-FilaConj,Hyalotheca dissiliens,Algaebase
Iconella,biseriata,6b2-LUniPenn,Iconella biseriata,Western Diatoms of North America
Iconella,delicatissima,6b2-LUniPenn,Iconella delicatissima,Western Diatoms of North America
Isthmochloron,,8b-LargeUnic,Isthmochloron,Salmaso Geisha Powell Center Workshop
Jaaginema,geminatum,5a-FilaCyano,Jaaginema geminatum,Algaebase; Anagnostidis &  Komarek 1988
Katablepharis,,2d-Crypto,Katablepharis,Salmaso & Padisak 2007
Katablepharis,ovalis,2d-Crypto,Katablepharis ovalis,Salmaso & Padisak 2007
Katodinium,,2b-SmallDino,Katodinium,Tolotti et al. 2010
Kephyrion,,2a-SmallChry1,Kephyrion,Salmaso & Padisak 2007
Kephyrion,starmachii,2a-SmallChry1,Kephyrion starmachii,Salmaso & Padisak 2007
Keratococcus,,9b-SmallChlor,Keratococcus,Salmaso Geisha Powell Center Workshop
Kirchneriella,lunaris,11b-GelaChlor,Kirchneriella lunaris,Salmaso Geisha Powell Center Workshop
Kirchneriella,,11b-GelaChlor,Kirchneriella,Salmaso Geisha Powell Center Workshop
Kirchneriella,contorta,11b-GelaChlor,Kirchneriella contorta,Salmaso & Padisak 2007
Klebsormidium,subtile,10a-FilaChlorp,Klebsormidium subtile,Rimet et al. 2018
Koliella,longiseta,9d-SmallUnic,Koliella longiseta,Salmaso & Padisak 2007
Komarekia,,11b-GelaChlor,Komarekia,Salmaso Geisha Powell Center Workshop
Komvophoron,,5a-FilaCyano,Komvophoron,CyanoDB 2
Komvophoron,constrictum,5a-FilaCyano,Komvophoron constrictum,CyanoDB 2
Komvophoron,schmidlei,5a-FilaCyano,Komvophoron schmidlei,CyanoDB 2
Korschivoviella,,8a-LargeCoCh,Korschivoviella,Tolotti et al. 2010
Korshikoviella,limnetica,8a-LargeCoCh,Korshikoviella limnetica,Salmaso Geisha Powell Center Workshop
Korshikoviella,,8a-LargeCoCh,Korshikoviella,Salmaso Geisha Powell Center Workshop
Lagerheimia,,9b-SmallChlor,Lagerheimia,Salmaso Geisha Powell Center Workshop
Lagerheimia,ciliata,9b-SmallChlor,Lagerheimia ciliata,Li et al. 2018
Lagerheimia,quadriseta,9b-SmallChlor,Lagerheimia quadriseta,Li et al. 2018
Lanceola,spatulifera,8a-LargeCoCh,Lanceola spatulifera,Rimet et al. 2018
Lemmermannia,komarekii,11b-GelaChlor,Lemmermannia komarekii,Li et al. 2018
Lemmermanniella,parva,5c-OtherChroo,Lemmermanniella parva,Lemmermanniella
Lemmermanniella,,5c-OtherChroo,Lemmermanniella,Lemmermanniella
Lepocinclis,acus,1c-LargeEugl,Lepocinclis acus,Salmaso Geisha Powell Center Workshop
Lepocinclis,,2c-SmallEugl,Lepocinclis,Salmaso Geisha Powell Center Workshop
Leptolyngbya,lagerheimii,5a-FilaCyano,Leptolyngbya lagerheimii,CyanoDB 2
Leptolyngbya,,5a-FilaCyano,Leptolyngbya,CyanoDB 2
Leptolyngbya,valderiana,5a-FilaCyano,Leptolyngbya valderiana,CyanoDB 2
Limnococcus,limneticus,5c-OtherChroo,Limnococcus limneticus,Algaebase
Limnolyngbya,circumcreta,5a-FilaCyano,Limnolyngbya circumcreta,Rimet et al. 2018
Limnoraphis,birgei,5a-FilaCyano,Limnoraphis birgei,Algaebase
Limnothrix,,5a-FilaCyano,Limnothrix,Algaebase
Limnotrichidae,,5a-FilaCyano,Limnotrichidae,Tolotti et al. 2010
Limnotrichoideae,,5a-FilaCyano,Limnotrichoideae,Salmaso & Padisak 2007
Limnotrichoideae,ind.,5a-FilaCyano,Limnotrichoideae ind.,Salmaso & Padisak 2007
Lindavia,bodanica,7a-SmallCent,Lindavia bodanica,Western Diatoms of North America
Lindavia,praetermissa,7a-SmallCent,Lindavia praetermissa,Western Diatoms of North America
Lindavia,schroeteri,7a-SmallCent,Lindavia schroeteri,Western Diatoms of North America
Lobocystis,,11a-NakeChlor,Lobocystis,Algaebase; Thompson 1952
Lobomonas,,3a-UnicPhyto,Lobomonas,Algaebase
Luticola,cohnii,7b-SmallPenn,Luticola cohnii,Western Diatoms of North America
Luticola,mutica,7b-SmallPenn,Luticola mutica,Western Diatoms of North America
Lyngbya,,5a-FilaCyano,Lyngbya,CyanoDB 2
Lyngbya,truncicola,5a-FilaCyano,Lyngbya truncicola,CyanoDB 2
Mallomonas,elegans,2a-SmallChry1,Mallomonas elegans,Salmaso Geisha Powell Center Workshop
Mallomonas,,2a-SmallChry1,Mallomonas,Salmaso Geisha Powell Center Workshop
Mallomonas,bolochonzevii,2d-Crypto,Mallomonas bolochonzevii,Salmaso & Padisak 2007
Mallomonas,acaroides,2a-SmallChry1,Mallomonas acaroides,Tolotti et al. 2010
Mallomonas,akrokomos,2a-SmallChry1,Mallomonas akrokomos,Tolotti et al. 2010
Mantellum,,5c-OtherChroo,Mantellum,CyanoDB 2
Martyana,,7b-SmallPenn,Martyana,Western Diatoms of North America
Mayamaea,lacunolaciniata,7b-SmallPenn,Mayamaea lacunolaciniata,Western Diatoms of North America
Melosira,varians,6a1-LColCent,Melosira varians,Salmaso Geisha Powell Center Workshop
Melosira,varians complex,6a1-LColCent,Melosira varians complex,Salmaso Geisha Powell Center Workshop
Meridion,circulare,6b1-LColPenn,Meridion circulare,Western Diatoms of North America
Merismopedia,glauca,5d-SmallChroo,Merismopedia glauca,Salmaso Geisha Powell Center Workshop
Merismopedia,,5d-SmallChroo,Merismopedia,Salmaso Geisha Powell Center Workshop
Merismopedia,tenuissima,5d-SmallChroo,Merismopedia tenuissima,Salmaso & Padisak 2007
Messastrum,gracile,1a-LargeChry,Messastrum gracile,Rimet et al. 2018
Micractinium,,11a-NakeChlor,Micractinium,Salmaso Geisha Powell Center Workshop
Micractinium,pusillum,11a-NakeChlor,Micractinium pusillum,Li et al. 2018
Micrasterias,,8a-LargeCoCh,Micrasterias,Algaebase
Micrasterias,arcuata expansa,8a-LargeCoCh,Micrasterias arcuata expansa,Algaebase
Micrasterias,floridensis,8a-LargeCoCh,Micrasterias floridensis,Algaebase
Micrasterias,foliacea,10b-FilaConj,Micrasterias foliacea,Algaebase
Micrasterias,furcata,8a-LargeCoCh,Micrasterias furcata,Algaebase
Micrasterias,johnsonii,8a-LargeCoCh,Micrasterias johnsonii,Algaebase
Micrasterias,mahabuleshwarensis dichotoma,8a-LargeCoCh,Micrasterias mahabuleshwarensis dichotoma,Algaebase
Micrasterias,radiata gracillima,8a-LargeCoCh,Micrasterias radiata gracillima,Algaebase
Microcoleus,,5a-FilaCyano,Microcoleus,Algaebase
Microcrocis,,5c-OtherChroo,Microcrocis,Algaebase
Microcystaceae,,5b-LargeVacC,Microcystaceae,Salmaso & Padisak 2007
Microcystaceae,ind.,5b-LargeVacC,Microcystaceae ind.,Salmaso & Padisak 2007
Microcystis,flos-aquae,5b-LargeVacC,Microcystis flos-aquae,Salmaso Geisha Powell Center Workshop
Microcystis,wesenbergii,5b-LargeVacC,Microcystis wesenbergii,Salmaso Geisha Powell Center Workshop
Microcystis,aeruginosa,5b-LargeVacC,Microcystis aeruginosa,Salmaso Geisha Powell Center Workshop
Microcystis,marginata,5b-LargeVacC,Microcystis marginata,Li et al. 2018
Microspora,abbreviata,10a-FilaChlorp,Microspora abbreviata,Algaebase
Monactinus,simplex,11a-NakeChlor,Monactinus simplex,Li et al. 2018
Monallanthus,,9d-SmallUnic,Monallanthus,Salmaso & Padisak 2007
Monallantus,,9d-SmallUnic,Monallantus,Algaebase
Monodus,,9b-SmallChlor,Monodus,Salmaso & Padisak 2007
Monomastix,,2d-Crypto,Monomastix,Algaebase
Monomastix,astigmata,2d-Crypto,Monomastix astigmata,Algaebase
Monomastix,minuta,2d-Crypto,Monomastix minuta,Algaebase
Monoraphidium,komarkovae,8a-LargeCoCh,Monoraphidium komarkovae,Salmaso Geisha Powell Center Workshop
Monoraphidium,minutum,9b-SmallChlor,Monoraphidium minutum,Salmaso Geisha Powell Center Workshop
Monoraphidium,nanum,9b-SmallChlor,Monoraphidium nanum,Salmaso Geisha Powell Center Workshop
Monoraphidium,,9b-SmallChlor,Monoraphidium,Salmaso Geisha Powell Center Workshop
Monoraphidium,dybowskii,9b-SmallChlor,Monoraphidium dybowskii,Salmaso & Padisak 2007
Monoraphidium,minutum/nanum,9b-SmallChlor,Monoraphidium minutum/nanum,Salmaso & Padisak 2007
Monoraphidium,arcuatum,9b-SmallChlor,Monoraphidium arcuatum,Salmaso & Padisak 2007
Monoraphidium,contortum,9b-SmallChlor,Monoraphidium contortum,Salmaso & Padisak 2007
Mougeotia,,10b-FilaConj,Mougeotia,Salmaso Geisha Powell Center Workshop
Mychonastes,elegans,11a-NakeChlor,Mychonastes elegans,Algaebase; Tsarenko 2011
Myxobaktron,,4-UnicCyano,Myxobaktron,McGregor 2001
Myxobaktron,lineare,4-UnicCyano,Myxobaktron lineare,McGregor 2001
Myxobaktron,salinum,4-UnicCyano,Myxobaktron salinum,McGregor 2001
Myxobaktron,smithii,4-UnicCyano,Myxobaktron smithii,McGregor 2001
Naiadinium,polonicum,2b-SmallDino,Naiadinium polonicum,Salmaso & Padisak 2007
Nannochloris,,9b-SmallChlor,Nannochloris,Algaebase
Nannochloris,atomus,9b-SmallChlor,Nannochloris atomus,Algaebase
Navicula,hungarica,6b2-LUniPenn,Navicula hungarica,Salmaso Geisha Powell Center Workshop
Navicula,radiosa,6b2-LUniPenn,Navicula radiosa,Salmaso Geisha Powell Center Workshop
Navicula,,7b-SmallPenn,Navicula,Salmaso Geisha Powell Center Workshop
Navicula,cryptocephala,6b1-LColPenn,Navicula cryptocephala,Salmaso & Padisak 2007
Navicula,gracilis,6b1-LColPenn,Navicula gracilis,Salmaso & Padisak 2007
Navicula,hungarica capitata,6b1-LColPenn,Navicula hungarica capitata,Salmaso & Padisak 2007
Navicula,gruppo radiosa,6b1-LColPenn,Navicula gruppo radiosa,Tolotti et al. 2010
Navigeia,decussis,7b-SmallPenn,Navigeia decussis,Rimet et al. 2018
Neidiomorpha,binodis,7b-SmallPenn,Neidiomorpha binodis,Western Diatoms of North America
Neidium,affine,7b-SmallPenn,Neidium affine,Western Diatoms of North America
Neidium,binodeforme,7b-SmallPenn,Neidium binodeforme,Western Diatoms of North America
Neidium,dubium,7b-SmallPenn,Neidium dubium,Western Diatoms of North America
Neidium,iridis,7b-SmallPenn,Neidium iridis,Western Diatoms of North America
Neidium,,7b-SmallPenn,Neidium,Western Diatoms of North America
Neocystis,policocca,11b-GelaChlor,Neocystis policocca,Salmaso & Padisak 2007
Neocystis,policocca+others,11b-GelaChlor,Neocystis policocca+others,Salmaso & Padisak 2007
Nephrochlamys,allanthoidea,11a-NakeChlor,Nephrochlamys allanthoidea,Algaebase
Nephrochlamys,danica,11a-NakeChlor,Nephrochlamys danica,Algaebase
Nephrochlamys,subsolitaria,11a-NakeChlor,Nephrochlamys subsolitaria,Algaebase
Nephrochloris,,2a-SmallChry1,Nephrochloris,Salmaso Geisha Powell Center Workshop
Nephrocytium,,11b-GelaChlor,Nephrocytium,Salmaso Geisha Powell Center Workshop
Nephrocytium,agardhianum,11b-GelaChlor,Nephrocytium agardhianum,Salmaso & Padisak 2007
Nephrocytium,spirale,11b-GelaChlor,Nephrocytium spirale,Salmaso & Padisak 2007
Nephroselmis,,3a-UnicPhyto,Nephroselmis,Salmaso Geisha Powell Center Workshop
Nitzschia,graciliformis,6b2-LUniPenn,Nitzschia graciliformis,Salmaso Geisha Powell Center Workshop
Nitzschia,palea,6b2-LUniPenn,Nitzschia palea,Salmaso Geisha Powell Center Workshop
Nitzschia,acicularis,7b-SmallPenn,Nitzschia acicularis,Salmaso & Padisak 2007
Nitzschia,,7b-SmallPenn,Nitzschia,Salmaso & Padisak 2007
Nitzschia,recta,6b1-LColPenn,Nitzschia recta,Tolotti et al. 2010
Nonmotile,chrysophytes,9c-SmallChry2,Nonmotile chrysophytes,description
Nostoc,,5e-Nostocales,Nostoc,Algaebase
Nostoc,caeruleum planctonicum,5e-Nostocales,Nostoc caeruleum planctonicum,Algaebase
Nostocales,,5e-Nostocales,Nostocales,description
Ochromonadaceae,,2a-SmallChry1,Ochromonadaceae,Salmaso & Padisak 2007
Ochromonas,,2a-SmallChry1,Ochromonas,Salmaso Geisha Powell Center Workshop
Oedogonium,,10a-FilaChlorp,Oedogonium,Algaebase; Huxley & Pentecost 2002
Oestrupia,bicontracta,7b-SmallPenn,Oestrupia bicontracta,Western Diatoms of North America
Oocystis,,11b-GelaChlor,Oocystis,Salmaso Geisha Powell Center Workshop
Oocystis,lacustris,11b-GelaChlor,Oocystis lacustris,Salmaso & Padisak 2007
Oocystis,solitaria,11b-GelaChlor,Oocystis solitaria,Salmaso & Padisak 2007
Oscillatoria,,5a-FilaCyano,Oscillatoria,Salmaso & Padisak 2007
Oscillatoria,chlorina,5a-FilaCyano,Oscillatoria chlorina,Salmaso & Padisak 2007
Oscillatoria,rubescens,5a-FilaCyano,Oscillatoria rubescens,Salmaso & Padisak 2007
other,chrysoflagellates,2a-SmallChry1,other chrysoflagellates,Salmaso & Padisak 2007
other,coccal green,9b-SmallChlor,other coccal green,Salmaso & Padisak 2007
other,Hormogonales,5a-FilaCyano,other Hormogonales,Salmaso & Padisak 2007
other,Phytomonadina,3a-UnicPhyto,other Phytomonadina,Salmaso & Padisak 2007
othre,Chlorococcales,9b-SmallChlor,othre Chlorococcales,Salmaso & Padisak 2007
Pachycladon,,9b-SmallChlor,Pachycladon,Salmaso Geisha Powell Center Workshop
Palmella,mucosa,11b-GelaChlor,Palmella mucosa,Li et al. 2018
Palmella,,11b-GelaChlor,Palmella,Li et al. 2018
Pandorina,morum,3b-ColoPhyto,Pandorina morum,Salmaso Geisha Powell Center Workshop
Pandorina,minodi,3b-ColoPhyto,Pandorina minodi,Salmaso & Padisak 2007
Pannus,spumosus,5c-OtherChroo,Pannus spumosus,CyanoDB 2
Pantocsekiella,comensis,7a-SmallCent,Pantocsekiella comensis,Western Diatoms of North America
Pantocsekiella,costei small,7a-SmallCent,Pantocsekiella costei small,Western Diatoms of North America
Pantocsekiella,delicatula,7a-SmallCent,Pantocsekiella delicatula,Western Diatoms of North America
Pantocsekiella,gordonensis,7a-SmallCent,Pantocsekiella gordonensis,Western Diatoms of North America
Pantocsekiella,ocellata,7a-SmallCent,Pantocsekiella ocellata,Western Diatoms of North America
Pantocsekiella,polymorpha,7a-SmallCent,Pantocsekiella polymorpha,Western Diatoms of North America
Pantocsekiella,rossii,7a-SmallCent,Pantocsekiella rossii,Western Diatoms of North America
Papenfussiomonas,cordata,3a-UnicPhyto,Papenfussiomonas cordata,Algaebase
Paradoxia,multiseta,9b-SmallChlor,Paradoxia multiseta,Algaebase
Paradoxia,pelletieri,9b-SmallChlor,Paradoxia pelletieri,Algaebase
Parapediastrum,biradiatum,11a-NakeChlor,Parapediastrum biradiatum,Li et al. 2018
Paraphysomonas,vestita,2a-SmallChry1,Paraphysomonas vestita,Salmaso & Padisak 2007
Paulschulzia,pseudovolvox,11b-GelaChlor,Paulschulzia pseudovolvox,Algaebase
Pectodictyon,pyramidale,11b-GelaChlor,Pectodictyon pyramidale,Li et al. 2018
Pediastrum,,11a-NakeChlor,Pediastrum,Salmaso Geisha Powell Center Workshop
Pediastrum,simplex,11a-NakeChlor,Pediastrum simplex,Salmaso & Padisak 2007
Pediastrum,boryanum,11a-NakeChlor,Pediastrum boryanum,Salmaso & Padisak 2007
Pediastrum,duplex,11a-NakeChlor,Pediastrum duplex,Salmaso & Padisak 2007
Penium,,8a-LargeCoCh,Penium,Li et al. 2018
Pennales,unident,6b1-LColPenn,Pennales unident,Tolotti et al. 2010
Pennate,diatom,7b-SmallPenn,Pennate diatom,description
Peridiniopsis,,2b-SmallDino,Peridiniopsis,Salmaso & Padisak 2007
Peridiniopsis,penardiforme,2b-SmallDino,Peridiniopsis penardiforme,Salmaso & Padisak 2007
Peridiniopsis,polonicum,1b-LargeDino,Peridiniopsis polonicum,Tolotti et al. 2010
Peridinium,,1b-LargeDino,Peridinium,Salmaso Geisha Powell Center Workshop
