"","genus","species","MFG","genspp","source"
"298","Euglena","","1c-LargeEugl","Euglena","Salmaso Geisha Powell Center Workshop"
"299","Euglena","viridis","1c-LargeEugl","Euglena viridis","Salmaso Geisha Powell Center Workshop"
"1661","Euglena","","2c-SmallEugl","Euglena","Salmaso & Padisak 2007"
"3591","Euglena","","1c-LargeEugl","Euglena","Li et al. 2018"
"3981","Euglena","","2c-SmallEugl","Euglena","Tolotti et al. 2010"
"506","Eunotia","","7b-SmallPenn","Eunotia","Salmaso Geisha Powell Center Workshop"
"65","Eutetramorus","fottii","1a-LargeChry","Eutetramorus fottii","Salmaso Geisha Powell Center Workshop"
"66","Eutetramorus","globosus","1a-LargeChry","Eutetramorus globosus","Salmaso Geisha Powell Center Workshop"
"67","Eutetramorus","nygaardii","1a-LargeChry","Eutetramorus nygaardii","Salmaso Geisha Powell Center Workshop"
"68","Eutetramorus","","1a-LargeChry","Eutetramorus","Salmaso Geisha Powell Center Workshop"
"601","Eutetramorus","","1b-LargeDino","Eutetramorus","Salmaso Geisha Powell Center Workshop"
"823","Fistulifera","pelliculosa","6b2-LUniPenn","Fistulifera pelliculosa","Rimet et al. 2018"
"218","Flagellate","diam","NA","Flagellate diam","description"
"232","Flagellates","um)","NA","Flagellates um)","description"
"2492","Flagellates","<","NA","Flagellates <","description"
"69","Fotterella","tetrachlorella","1b-LargeDino","Fotterella tetrachlorella","Algaebase"
"447","Fragilaria","","6b1-LColPenn","Fragilaria","Salmaso Geisha Powell Center Workshop"
"456","Fragilaria","tenera","6b2-LUniPenn","Fragilaria tenera","Salmaso Geisha Powell Center Workshop"
"457","Fragilaria","ulna","6b2-LUniPenn","Fragilaria ulna","Salmaso Geisha Powell Center Workshop"
"507","Fragilaria","vaucheriae","7b-SmallPenn","Fragilaria vaucheriae","Salmaso Geisha Powell Center Workshop"
"4911","Fragilaria","crotonensis","6b","Fragilaria crotonensis","Salmaso & Padisak 2007"
"5011","Fragilaria","ulna acus","6b","Fragilaria ulna acus","Salmaso & Padisak 2007"
"1671","Fragilaria","capucina","6b","Fragilaria capucina","Salmaso & Padisak 2007"
"1681","Fragilaria","construens","6b","Fragilaria construens","Salmaso & Padisak 2007"
"1701","Fragilaria","","6b","Fragilaria","Salmaso & Padisak 2007"
"3791","Fragilaria","","6b1-LColPenn","Fragilaria","Li et al. 2018"
"4261","Fragilaria","tenera","6b-LargePenn","Fragilaria tenera","Tolotti et al. 2010"
"4271","Fragilaria","arcus","6b-LargePenn","Fragilaria arcus","Tolotti et al. 2010"
"4281","Fragilaria","crotonensis","6b-LargePenn","Fragilaria crotonensis","Tolotti et al. 2010"
"429","Fragilaria","ulna/capucina","6b-LargePenn","Fragilaria ulna/capucina","Tolotti et al. 2010"
"4301","Fragilaria","ulna angustissima/delic.ssima","6b-LargePenn","Fragilaria ulna angustissima/delic.ssima","Tolotti et al. 2010"
"4451","Fragilaria","vaucheriae- corta","7b-SmallPenn","Fragilaria vaucheriae- corta","Tolotti et al. 2010"
"4461","Fragilaria","","7b-SmallPenn","Fragilaria","Tolotti et al. 2010"
"5281","Fragilaria","berolinensis =","6b1-LColPenn","Fragilaria berolinensis =","Salmaso Geisha Powell Center Workshop"
"833","Fragilariforma","virescens","6b1-LColPenn","Fragilariforma virescens","Western Diatoms of North America"
"843","Fragiliaria","acus","6b1-LColPenn","Fragiliaria acus","Rimet et al. 2018"
"70","Franceia","amphitricha","9b-SmallChlor","Franceia amphitricha","Salmaso Geisha Powell Center Workshop"
"71","Franceia","ovalis","9b-SmallChlor","Franceia ovalis","Salmaso Geisha Powell Center Workshop"
"631","Franceia","","1b-LargeDino","Franceia","Salmaso Geisha Powell Center Workshop"
"1721","free","Dinobryon","1a-LargeChry","free Dinobryon","Salmaso & Padisak 2007"
"72","Frustulia","rhomboides","6b1-LColPenn","Frustulia rhomboides","Western Diatoms of North America"
"73","Frustulia","","6b1-LColPenn","Frustulia","Western Diatoms of North America"
"853","Fusiperidinium","wisconsinense","1b-LargeDino","Fusiperidinium wisconsinense","Algaebase"
"863","Fusola","viridis","1b-LargeDino","Fusola viridis","Algaebase"
"74","Geissleria","acceptata","7b-SmallPenn","Geissleria acceptata","Western Diatoms of North America"
"75","Geissleria","decussis","7b-SmallPenn","Geissleria decussis","Western Diatoms of North America"
"76","Geitlerinema","acutissimum","5a-FilaCyano","Geitlerinema acutissimum","CyanoDB 2"
"77","Geitlerinema","amphibium","5a-FilaCyano","Geitlerinema amphibium","CyanoDB 2"
"78","Geminella","interrupta","10a-FilaChlorp","Geminella interrupta","Tsarenko 2011"
"293","Glenodinium","pulvisculum","1b-LargeDino","Glenodinium pulvisculum","Salmaso Geisha Powell Center Workshop"
"325","Glenodinium","","2b-SmallDino","Glenodinium","Salmaso Geisha Powell Center Workshop"
"2211","Glenodinium","","2b-SmallDino","Glenodinium","Salmaso & Padisak 2007"
"3841","Glenodinium","","2b-SmallDino","Glenodinium","Li et al. 2018"
"873","Gloeobotrys","limneticus","1c-LargeEugl","Gloeobotrys limneticus","Algaebase"
"401","Gloeocapsa","","5c-OtherChroo","Gloeocapsa","Algaebase"
"79","Gloeocapsopsis","","5c-OtherChroo","Gloeocapsopsis","Komarek 1993"
"883","Gloeococcus","","3b-ColoPhyto","Gloeococcus","Algaebase"
"249","Gloeocystis","","1b-LargeDino","Gloeocystis","Salmaso Geisha Powell Center Workshop"
"3151","Gloeocystis","","1b-LargeDino","Gloeocystis","Li et al. 2018"
"407","Gloeothece","","5d-SmallChroo","Gloeothece","Salmaso Geisha Powell Center Workshop"
"80","Gloeotila","ralis","10a-FilaChlorp","Gloeotila spiralis","Tsarenko 2011"
"893","Gloeotrichia","","5e-Nostocales","Gloeotrichia","Algaebase"
"903","Gloeotrichia","echinulata","5e-Nostocales","Gloeotrichia echinulata","Algaebase"
"3081","Gloeotrichia","echinulata","5e-Nostocales","Gloeotrichia echinulata","description"
"681","Golenkinia","","9b-SmallChlor","Golenkinia","Salmaso Geisha Powell Center Workshop"
"3161","Golenkinia","radiata","9b-SmallChlor","Golenkinia radiata","Li et al. 2018"
"4581","Golenkinia","radiata","1a-LargeChry","Golenkinia radiata","Tolotti et al. 2010"
"81","Golenkiniopsis","chlorelloides","9b-SmallChlor","Golenkiniopsis chlorelloides","Salmaso Geisha Powell Center Workshop"
"82","Golenkiniopsis","longina","9b-SmallChlor","Golenkiniopsis longispina","Salmaso Geisha Powell Center Workshop"
"83","Golenkiniopsis","parvula","9b-SmallChlor","Golenkiniopsis parvula","Salmaso Geisha Powell Center Workshop"
"84","Golenkiniopsis","solitaria","9b-SmallChlor","Golenkiniopsis solitaria","Salmaso Geisha Powell Center Workshop"
"85","Golenkiniopsis","","9b-SmallChlor","Golenkiniopsis","Salmaso Geisha Powell Center Workshop"
"508","Gomphonema","parvulum","7b-SmallPenn","Gomphonema parvulum","Salmaso Geisha Powell Center Workshop"
"509","Gomphonema","","7b-SmallPenn","Gomphonema","Salmaso Geisha Powell Center Workshop"
"1731","Gomphonema","","6b","Gomphonema","Salmaso & Padisak 2007"
"3671","Gomphonema","","7b-SmallPenn","Gomphonema","Li et al. 2018"
"4471","Gomphonema","","7b-SmallPenn","Gomphonema","Tolotti et al. 2010"
"86","Gomphosphaeria","compacta","5c-OtherChroo","Gomphosphaeria compacta","CyanoDB 2"
"87","Gomphosphaeria","lacustris","5c-OtherChroo","Gomphosphaeria lacustris","CyanoDB 2"
"88","Gomphosphaeria","pusilla","5c-OtherChroo","Gomphosphaeria pusilla","CyanoDB 2"
"89","Gomphosphaeria","rosea","5c-OtherChroo","Gomphosphaeria rosea","CyanoDB 2"
"90","Gomphosphaeria","","5c-OtherChroo","Gomphosphaeria","CyanoDB 2"
"91","Gonatozygon","brebissonnii","8a-LargeCoCh","Gonatozygon brebissonnii","Algaebase"
"92","Gonatozygon","monotaenium","8a-LargeCoCh","Gonatozygon monotaenium","Algaebase"
"711","Goniochloris","","9d-SmallUnic","Goniochloris","Salmaso Geisha Powell Center Workshop"
"369","Gonium","sociale","3b-ColoPhyto","Gonium sociale","Salmaso Geisha Powell Center Workshop"
"721","Gonium","","3b-ColoPhyto","Gonium","Salmaso Geisha Powell Center Workshop"
"3311","Gonium","pectorale","3b-ColoPhyto","Gonium pectorale","Salmaso & Padisak 2007"
"93","Gonyaulax","apiculata","2b-SmallDino","Gonyaulax apiculata","Algaebase"
"915","Gonyostomum","semen","3a-UnicPhyto","Gonyostomum semen","Algaebase"
"94","Granulocystis","helenae","1a-LargeChry","Granulocystis helenae","Tsarenko 2011"
"95","Granulocystopsis","coronata","1a-LargeChry","Granulocystopsis coronata","Algaebase"
"96","Granulocystopsis","pseudocoronata","1a-LargeChry","Granulocystopsis pseudocoronata","Algaebase"
"268","green","Flagellata","NA","green Flagellata","description"
"923","Gregiochloris","lacustris","1a-LargeChry","Gregiochloris lacustris","Rimet et al. 2018"
"933","Groenbladia","neglecta","10b-FilaConj","Groenbladia neglecta","Algaebase"
"943","Groenbladia","undulata","10b-FilaConj","Groenbladia undulata","Algaebase"
"326","Gymnodinium","hantzschii","2b-SmallDino","Gymnodinium hantzschii","Salmaso Geisha Powell Center Workshop"
"328","Gymnodinium","","2b-SmallDino","Gymnodinium","Salmaso Geisha Powell Center Workshop"
"1911","Gymnodinium","helveticum","1b-LargeDino","Gymnodinium helveticum","Salmaso & Padisak 2007"
"1751","Gymnodinium","lacustre","2b-SmallDino","Gymnodinium lacustre","Salmaso & Padisak 2007"
"1761","Gymnodinium","","2b-SmallDino","Gymnodinium","Salmaso & Padisak 2007"
"3941","Gymnodinium","lantschii","2b-SmallDino","Gymnodinium lantschii","Tolotti et al. 2010"
"3951","Gymnodinium","","2b-SmallDino","Gymnodinium","Tolotti et al. 2010"
"953","Gyromitus","cordiformis","3a-UnicPhyto","Gyromitus cordiformis","Howe et al. 2011"
"461","Gyrosigma","","6b2-LUniPenn","Gyrosigma","Li et al. 2018"
"741","Haematococcus","","3a-UnicPhyto","Haematococcus","Salmaso Geisha Powell Center Workshop"
"963","Halamphora","holsatica","6b2-LUniPenn","Halamphora holsatica","Rimet et al. 2018"
"973","Halamphora","veneta","6b2-LUniPenn","Halamphora veneta","Rimet et al. 2018"
"983","Handmannia","glabriuscula","7a-SmallCent","Handmannia glabriuscula","Rimet et al. 2018"
"993","Hannaea","arcus","6b2-LUniPenn","Hannaea arcus","Western Diatoms of North America"
"1771","Hantzschia","amphioxys","6b","Hantzschia amphioxys","Salmaso & Padisak 2007"
"1003","Hapalosiphon","flexuosus","5e-Nostocales","Hapalosiphon flexuosus","Algaebase"
"1015","Haplotaenium","minutum","10b-FilaConj","Haplotaenium minutum","Algaebase"
"282","Haptophyceae","","NA","Haptophyceae","description"
"3171","Hariotina","reticulata","1a-LargeChry","Hariotina reticulata","Li et al. 2018"
"1023","Hegewaldia","parvula","9b-SmallChlor","Hegewaldia parvula","Algaebase"
"1033","Heimansia","pusilla","9a-SmallConj","Heimansia pusilla","Algaebase"
"97","Heleochloris","pallida","1a-LargeChry","Heleochloris pallida","Tsarenko 2011"
"1042","Heterochromonas","","2a-SmallChry1","Heterochromonas","Matz & Jurgens 2005"
"1052","Heteroleibleinia","","5a-FilaCyano","Heteroleibleinia","Algaebase"
"1063","Heterothrix","","10c-FilaXant","Heterothrix","Algaebase"
"1073","Heterothrix","tenuissima","10c-FilaXant","Heterothrix tenuissima","Algaebase"
"1083","Hippodonta","","7b-SmallPenn","Hippodonta","Western Diatoms of North America"
"1093","Hippodonta","capitata","7b-SmallPenn","Hippodonta capitata","Western Diatoms of North America"
"1104","Hormogonales","","NA","Hormogonales","description"
"246","Hormogonales","(cyli-like)","NA","Hormogonales (cyli-like)","description"
"1114","Humidophila","perpusilla","7b-SmallPenn","Humidophila perpusilla","Western Diatoms of North America"
"99","Hyalotheca","dissiliens","10b-FilaConj","Hyalotheca dissiliens","Algaebase"
"1133","Iconella","biseriata","6b2-LUniPenn","Iconella biseriata","Western Diatoms of North America"
"1143","Iconella","delicatissima","6b2-LUniPenn","Iconella delicatissima","Western Diatoms of North America"
"751","Isthmochloron","","8b-LargeUnic","Isthmochloron","Salmaso Geisha Powell Center Workshop"
"100","Jaaginema","geminatum","5a-FilaCyano","Jaaginema geminatum","Algaebase; Anagnostidis &  Komarek 1988"
"351","Katablepharis","","2d-Crypto","Katablepharis","Salmaso & Padisak 2007"
"1781","Katablepharis","ovalis","2d-Crypto","Katablepharis ovalis","Salmaso & Padisak 2007"
"4012","Katablepharis","ovalis","2d-Crypto","Katablepharis ovalis","Tolotti et al. 2010"
"329","Katodinium","","2b-SmallDino","Katodinium","Tolotti et al. 2010"
"314","Kephyrion","","2a-SmallChry1","Kephyrion","Salmaso & Padisak 2007"
"1812","Kephyrion","starmachii","2a-SmallChry1","Kephyrion starmachii","Salmaso & Padisak 2007"
"761","Keratococcus","","9b-SmallChlor","Keratococcus","Salmaso Geisha Powell Center Workshop"
"251","Kirchneriella","lunaris","1b-LargeDino","Kirchneriella lunaris","Salmaso Geisha Powell Center Workshop"
