MFG.num,original_phyto_name,phyto_name,Algaebase_Current_22Sep2017,Match.,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
11b,Dictyosphaerium granulatum HINDAK 1977,Dictyosphaerium granulatum,Dictyosphaerium granulatum,TRUE,Dictyosphaerium,granulatum,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Elakatothrix WILLE sp.,Elakatothrix,Elakatothrix,TRUE,Elakatothrix,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Coenocystis subcylindrica KORSHIKOV 1953,Coenocystis subcylindrica,Coenocystis subcylindrica,TRUE,Coenocystis,subcylindrica,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Oocystis N?ELI emend. FOTT sp.,Oocystis,Oocystis,TRUE,Oocystis,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Nephrocytium N?ELI sp.,Nephrocytium,Nephrocytium,TRUE,Nephrocytium,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Dictyosphaerium N?ELI sp.,Dictyosphaerium,Dictyosphaerium,TRUE,Dictyosphaerium,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Sphaerocystis sp.,Sphaerocystis,Sphaerocystis,TRUE,Sphaerocystis,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Coenocystis planctonica,Coenocystis planctonica,Coenocystis planctonica,TRUE,Coenocystis,planctonica,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Dictyosphaerium subsolitarium VAN GOOR,Dictyosphaerium subsolitarium,Dictyosphaerium subsolitarium,TRUE,Dictyosphaerium,subsolitarium,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Crucigenia tetrapedia (KIRCHNER) W & G.S WEST,Crucigenia tetrapedia,Crucigenia tetrapedia,TRUE,Crucigenia,tetrapedia,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Coenochloris ovalis,Coenochloris ovalis,Neocystis ovalis,FALSE,Neocystis,ovalis,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Paulschulzia SKUJA 1948 sp.,Paulschulzia,Paulschulzia,TRUE,Paulschulzia,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Oocystis naegelii A BRAUN,Oocystis naegelii,Oocystis naegelii,TRUE,Oocystis,naegelii,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Crucigenia rectangularis (N?ELI) GAY,Crucigenia rectangularis,Willea rectangularis,FALSE,Willea,rectangularis,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Paulschulzia pseudovolvox (SCHULZ) SKUJA 1948,Paulschulzia pseudovolvox,Paulschulzia pseudovolvox,TRUE,Paulschulzia,pseudovolvox,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Pseudosphaerocystis sp.,Pseudosphaerocystis,Pseudosphaerocystis,TRUE,Pseudosphaerocystis,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Paulschulzia tenera (KORSHIKOV) LUND 1960,Paulschulzia tenera,Paulschulzia tenera,TRUE,Paulschulzia,tenera,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Kirchneria contorta (SCHMIDLE) HINDAK,Kirchneria contorta,Raphidocelis danubiana,FALSE,Raphidocelis,danubiana,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
1a,Dinobryon EHRENBERG sp.,Dinobryon,Dinobryon,TRUE,Dinobryon,,1a-LargeChry,SR,1,0,Large,NA,NA,NA,NA,NA
1a,Uroglena EHRENBERG (1833) 1835 sp.,Uroglena,Uroglena,TRUE,Uroglena,,1a-LargeChry,SR,1,0,Large,NA,NA,NA,NA,NA
1a,Synura EHRENBERG 1838 sp.,Synura,Synura,TRUE,Synura,,1a-LargeChry,SR,1,0,Large,NA,NA,NA,NA,NA
1a,Dinobryon divergens IMHOF 1887,Dinobryon divergens,Dinobryon divergens,TRUE,Dinobryon,divergens,1a-LargeChry,SR,1,0,Large,NA,NA,NA,NA,NA
1a,Dinobryon petiolatum WILLEN,Dinobryon petiolatum,Dinobryon faculiferum,FALSE,Dinobryon,faculiferum,1a-LargeChry,SR,1,0,Large,NA,NA,NA,NA,NA
1a,Dinobryon cylindricum IMHOF 1883,Dinobryon cylindricum,Dinobryon cylindricum,TRUE,Dinobryon,cylindricum,1a-LargeChry,SR,1,0,Large,NA,NA,NA,NA,NA
1a,Dinobryon bavaricum IMHOF 1890,Dinobryon bavaricum,Dinobryon bavaricum,TRUE,Dinobryon,bavaricum,1a-LargeChry,SR,1,0,Large,NA,NA,NA,NA,NA
1b,Ceratium furcoides (LEVANDER) LANGHANS 1925,Ceratium furcoides,Ceratium furcoides,TRUE,Ceratium,furcoides,1b-LargeDino,S,1,0,Large,NA,NA,NA,NA,NA
1b,Ceratium sp.,Ceratium sp.,Ceratium,FALSE,Ceratium,,1b-LargeDino,S,1,0,Large,NA,NA,NA,NA,NA
1b,Ceratium hirundinella (OF M?LER) DUJARDIN 1846 (included C. furcoides until 1983-1984, check individual lakes),Ceratium hirundinella,Ceratium hirundinella,TRUE,Ceratium,hirundinella,1b-LargeDino,S,1,0,Large,NA,NA,NA,NA,NA
1b,Peridinium EHRENBERG 1832 sp. (small) (25um cbut, csre),Peridinium (small) (25 um cbut, csre),Peridinium (small),FALSE,Peridinium,(small),1b-LargeDino,S,1,0,Large,NA,NA,NA,NA,NA
1b,Peridinium EHRENBERG 1832 sp. (a distinct species for JL),Peridinium,Peridinium,TRUE,Peridinium,,1b-LargeDino,S,1,0,Large,NA,NA,NA,NA,NA
1b,Peridinium EHRENBERG 1832 sp. (medium),Peridinium (medium),Peridinium (medium),TRUE,Peridinium,(medium),1b-LargeDino,S,1,0,Large,NA,NA,NA,NA,NA
1b,Peridinium EHRENBERG 1832 sp. (large),Peridinium (large),Peridinium (large),TRUE,Peridinium,(large),1b-LargeDino,S,1,0,Large,NA,NA,NA,NA,NA
1c,Pseudopedinella  spp.,Pseudopedinella,Pseudopedinella,TRUE,Pseudopedinella,,1c-LargeEugl,,1,0,Large,NA,NA,NA,NA,NA
1c,Phacus DUJARDIN 1841 sp.,Phacus,Phacus,TRUE,Phacus,,1c-LargeEugl,,1,0,Large,NA,NA,NA,NA,NA
1c,Euglena EHRENBERG 1830 sp.,Euglena,Euglena,TRUE,Euglena,,1c-LargeEugl,,1,0,Large,NA,NA,NA,NA,NA
2a,Kephyrion ovale (LACKEY) HUBER-PESTALOZZI,Kephyrion ovale,Kephyrion ovale,TRUE,Kephyrion,ovale,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Stokesiella epipyxis PASCHER,Stokesiella epipyxis,Stokesiella epipyxis,TRUE,Stokesiella,epipyxis,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Mallomonas PERTY 1851 sp. (small),Mallomonas (small),Mallomonas (small),TRUE,Mallomonas,(small),2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Kephyrion boreale SKUJA,Kephyrion boreale,Kephyrion boreale,TRUE,Kephyrion,boreale,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Chromulina small <5mu,Chromulina small < 5 um,Chromulina (small < 5 um),FALSE,Chromulina,(small,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Chromulina CIENKOWSKI sp.,Chromulina,Chromulina,TRUE,Chromulina,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Kephyrion type 2,Kephyrion type 2,Kephyrion,FALSE,Kephyrion,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Mallomonas PERTY 1851 sp.,Mallomonas,Mallomonas,TRUE,Mallomonas,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Kephyrion PASCHER 1911 sp.,Kephyrion,Kephyrion,TRUE,Kephyrion,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Mallomonas PERTY 1851 sp. (medium),Mallomonas (medium),Mallomonas (medium),TRUE,Mallomonas,(medium),2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Chrysococcus KLEBS 1892 sp.,Chrysococcus,Chrysococcus,TRUE,Chrysococcus,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Pseudokephyrion PASCHER sp.,Pseudokephyrion,Pseudokephyrion,TRUE,Pseudokephyrion,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Mallomonas PERTY 1851 sp. (large),Mallomonas (large),Mallomonas (large),TRUE,Mallomonas,(large),2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Mallomonas acaroides PERTY 1851,Mallomonas acaroides,Mallomonas acaroides,TRUE,Mallomonas,acaroides,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Epipyxis EHRENBERG sp.,Epipyxis,Epipyxis,TRUE,Epipyxis,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Mallomonas caudata IVANOV 1899,Mallomonas caudata,Mallomonas caudata,TRUE,Mallomonas,caudata,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Ochromonas WYSSOTSKI sp.,Ochromonas,Ochromonas,TRUE,Ochromonas,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Stokesiella spp.,Stokesiella,Stokesiella,TRUE,Stokesiella,,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Chrysochromulina parva LACKEY 1939,Chrysochromulina parva,Chrysochromulina parva,TRUE,Chrysochromulina,parva,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Ochromonas verrucosa SKUJA,Ochromonas verrucosa,Ochromonas verrucosa,TRUE,Ochromonas,verrucosa,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Mallomonas akrokomas RUTTNER IN PASCHER 1913,Mallomonas akrokomas,Mallomonas akrokomos,FALSE,Mallomonas,akrokomos,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2a,Ochromonas  WYSSOTSKI sp. (small ),Ochromonas (small ),Ochromonas (small ),TRUE,Ochromonas,(small,2a-SmallChry1,C,1,0,Small,0,NA,NA,NA,NA
2b,Gymnodinium STEIN 1878 sp.,Gymnodinium,Gymnodinium,TRUE,Gymnodinium,,2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2b,Glenodinium berghii Lemmermann,Glenodinium berghii,Glenodinium berghii,TRUE,Glenodinium,berghii,2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2b,Gymnodinium STEIN 1878 sp. (small),Gymnodinium (small),Gymnodinium (small),TRUE,Gymnodinium,(small),2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2b,Gymnodinium fuscum (EHRENBERG) STEIN,Gymnodinium fuscum,Gymnodinium fuscum,TRUE,Gymnodinium,fuscum,2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2b,Gymnodinium STEIN 1878 sp. and Glenodinium (EHRENBERG) STEIN 1883 sp. (large) - [mixed],Gymnodinium STEIN 1878 sp. and Glenodinium (EHRENBERG) STEIN 1883 sp. (large) - [mixed],Gymnodinium and Glenodinium (large),FALSE,Gymnodinium,and,2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2b,Gymnodinium saginatum T M Harris 1940,Gymnodinium saginatum,Gymnodinium saginatum,TRUE,Gymnodinium,saginatum,2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2b,Gymnodinium STEIN 1878 sp. (large),Gymnodinium (large),Gymnodinium (large),TRUE,Gymnodinium,(large),2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2b,Gymnodinium helveticum forma achroum SKUJA 1948,Gymnodinium helveticum forma achroum,Gymnodinium helveticum f. achroum,FALSE,Gymnodinium,helveticum achroum,2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2b,Gymnodinium STEIN 1878 sp. (medium),Gymnodinium (medium),Gymnodinium (medium),TRUE,Gymnodinium,(medium),2b-SmallDino,SC,1,0,Small,0,NA,NA,NA,NA
2c,Lepocinclis sp.,Lepocinclis,Lepocinclis,TRUE,Lepocinclis,,2c-SmallEugl,SC,1,0,Small,0,NA,NA,NA,NA
2c,Trachelomonas hispida (PERTY) STEIN 1883,Trachelomonas hispida,Trachelomonas hispida,TRUE,Trachelomonas,hispida,2c-SmallEugl,SC,1,0,Small,0,NA,NA,NA,NA
2c,Trachelomonas varians DEFLANDRE 1924,Trachelomonas varians,Trachelomonas,FALSE,Trachelomonas,,2c-SmallEugl,SC,1,0,Small,0,NA,NA,NA,NA
