MFG.num,phyto_name,Algaebase_Current_7Aug2017,Match.,X,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
6a1,Aulacoseira granulata,Aulacoseira granulata,TRUE,,Aulacoseira,granulata,6a1-LColCent,CR,0,1,Large,1,1,NA,NA,NA
6a1,Melosira varians,Melosira varians,TRUE,,Melosira,varians,6a1-LColCent,CR,0,1,Large,1,1,NA,NA,NA
6a1,Aulacoseira ambigua,Aulacoseira ambigua,TRUE,,Aulacoseira,ambigua,6a1-LColCent,CR,0,1,Large,1,1,NA,NA,NA
6a1,Aulacoseira sp.,Aulacoseira,FALSE,,Aulacoseira,,6a1-LColCent,CR,0,1,Large,1,1,NA,NA,NA
6a1,Aulacoseira islandica,Aulacoseira islandica,TRUE,,Aulacoseira,islandica,6a1-LColCent,CR,0,1,Large,1,1,NA,NA,NA
6a2,Stephanodiscus hantzschii,Stephanodiscus hantzschii,TRUE,,Stephanodiscus,hantzschii,6a2-LUniCent,CR,0,1,Large,0,1,NA,NA,NA
6a2,Stephanodiscus sp.,Stephanodiscus,FALSE,,Stephanodiscus,,6a2-LUniCent,CR,0,1,Large,0,1,NA,NA,NA
6a2,Stephanodiscus astraea,Stephanodiscus astraea,TRUE,,Stephanodiscus,astraea,6a2-LUniCent,CR,0,1,Large,0,1,NA,NA,NA
6a2,Rhizosolenia longiseta,Urosolenia longiseta,FALSE,,Urosolenia,longiseta,6a2-LUniCent,CR,0,1,Large,0,1,NA,NA,NA
6b1,Diatoma tenuis,Diatoma tenuis,TRUE,,Diatoma,tenuis,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Fragilaria construens,Fragilaria construens,TRUE,,Fragilaria,construens,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Fragilaria crotonensis,Fragilaria crotonensis,TRUE,,Fragilaria,crotonensis,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Fragilaria capucina,Fragilaria capucina,TRUE,,Fragilaria,capucina,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Fragilaria inflata,Fragilaria inflata,TRUE,,Fragilaria,inflata,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Tabellaria fenestrata,Tabellaria fenestrata,TRUE,,Tabellaria,fenestrata,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Asterionella formosa,Asterionella formosa,TRUE,,Asterionella,formosa,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Fragilaria sp.,Fragilaria,FALSE,,Fragilaria,,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b1,Meridion circulare,Meridion circulare,TRUE,,Meridion,circulare,6b1-LColPenn,CR,0,1,Large,1,0,NA,NA,NA
6b2,Cymatopleura solea,Surirella librile,FALSE,,Surirella,librile,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Nitzschia acicularis,Nitzschia acicularis,TRUE,,Nitzschia,acicularis,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Surirella ovata,Surirella minuta,FALSE,,Surirella,minuta,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Surirella sp.,Surirella,FALSE,,Surirella,,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Fragilaria ulna,Ulnaria ulna,FALSE,,Ulnaria,ulna,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
6b2,Gyrosigma sp.,Gyrosigma,FALSE,,Gyrosigma,,6b2-LUniPenn,CR,0,1,Large,0,0,NA,NA,NA
